onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.009534	3.017168	conj	2.813261	Fc1_1211.jpg	69	70
11.01469	3.06324	rating	2.813261	Fc1_1211.jpg	69	70
22.01289	3.01715	summ	-0.999	Fc3_1313.jpg	29.25	30
32.51175	3.13126	rating	-0.999	Fc3_1313.jpg	29.25	30
42.51646	3.01716	conj	-0.999	Fc1_2231.jpg	92.5	90
51.51108	3.0489	rating	-0.999	Fc1_2231.jpg	92.5	90
58.51029	3.01672	conj	2.38111	Fc1_2211.jpg	38.25	40
67.51252	3.01429	rating	2.38111	Fc1_2211.jpg	38.25	40
74.51053	3.01667999999999	summ	2.614653	Fc3_1213.jpg	48.75	50
83.51265	3.01443	rating	2.614653	Fc3_1213.jpg	48.75	50
91.01071	3.01667999999999	conj	1.448153	Fc1_1221.jpg	50.25	50
99.01286	3.01464	rating	1.448153	Fc1_1221.jpg	50.25	50
107.0111	3.0172	conj	1.901945	Fc1_3221.jpg	80.25	80
118.0113	3.0162	rating	1.901945	Fc1_3221.jpg	80.25	80
128.5148	3.0172	summ	1.521967	Fc3_1213.jpg	51.75	50
139.0116	3.0163	rating	1.521967	Fc3_1213.jpg	51.75	50
148.0115	3.01669999999999	conj	1.616932	Fc1_3231.jpg	80.25	30
158.5113	3.01679999999999	rating	1.616932	Fc1_3231.jpg	80.25	30
166.0117	3.01670000000001	summ	-0.999	Fc3_1211.jpg	80.25	80
173.511	3.12860000000001	rating	-0.999	Fc3_1211.jpg	80.25	80
182.512	3.01669999999999	summ	2.784073	Fc3_1112.jpg	72.75	70
192.5113	3.01489999999998	rating	2.784073	Fc3_1112.jpg	72.75	70
201.0119	3.017	summ	2.267584	Fc3_1211.jpg	80.25	80
209.0115	3.01719999999997	rating	2.267584	Fc3_1211.jpg	80.25	80
219.0139	3.0172	conj	1.20411	Fc1_1211.jpg	70.5	70
227.0115	3.01769999999999	rating	1.20411	Fc1_1211.jpg	70.5	70
238.0172	3.0172	conj	-0.999	Fc1_2231.jpg	100	90
245.0115	3.04049999999998	rating	-0.999	Fc1_2231.jpg	100	90
252.0126	3.01690000000002	summ	2.632981	Fc3_1312.jpg	39.75	40
260.0132	3.01620000000003	rating	2.632981	Fc3_1312.jpg	39.75	40
268.513	3.01680000000005	summ	2.316371	Fc3_1313.jpg	30.75	30
277.5135	3.01619999999997	rating	2.316371	Fc3_1313.jpg	30.75	30
285.0133	3.01669999999996	summ	2.48304	Fc3_1111.jpg	93	90
296.0136	3.0163	rating	2.48304	Fc3_1111.jpg	93	90
307.0136	3.01670000000001	summ	2.436269	Fc3_1112.jpg	68.25	70
314.0111	3.00299999999999	rating	2.436269	Fc3_1112.jpg	68.25	70
322.5152	3.01710000000003	conj	2.321097	Fc1_3221.jpg	84.75	80
333.0129	3.01749999999998	rating	2.321097	Fc1_3221.jpg	84.75	80
340.5181	3.01749999999998	summ	2.140334	Fc3_1312.jpg	41.25	40
350.0132	3.01740000000001	rating	2.140334	Fc3_1312.jpg	41.25	40
359.0142	3.01669999999996	summ	1.917799	Fc3_1111.jpg	87	90
367.5131	3.01769999999999	rating	1.917799	Fc3_1111.jpg	87	90
377.5144	3.01679999999999	conj	-0.999	Fc1_3231.jpg	32.25	30
384.5117	3.036	rating	-0.999	Fc1_3231.jpg	32.25	30
395.5147	3.01670000000001	conj	2.551903	Fc1_2211.jpg	39	40
406.0129	3.017	rating	2.551903	Fc1_2211.jpg	39	40
416.0149	3.017	conj	-0.999	Fc1_1221.jpg	51	50
427.0132	3.03710000000001	rating	-0.999	Fc1_1221.jpg	51	50
